UserId,Weather,Clothing,Rating
1,Sunny,T-shirt,5.0
1,Hot,Shorts,4.0
1,Rainy,Hoodie,3.0
2,Cold,Long Sleeve,5.0
2,Windy,Pants,4.0
2,Sunny,Jacket,3.0
3,Hot,Jeans,5.0
3,Rainy,Sweater,4.0
3,Cold,Polo,3.0
4,Sunny,Blazer,5.0
4,Windy,Skirt,4.0
4,Rainy,Cardigan,3.0
5,Hot,Hoodie,5.0
5,Cold,T-shirt,4.0
5,Sunny,Shorts,3.0
6,Windy,Sweater,4.0
6,Sunny,Jacket,5.0
6,Cold,Pants,3.0
7,Hot,T-shirt,5.0
7,Rainy,Hoodie,4.0
7,Cold,Long Sleeve,3.0
8,Cold,Jeans,5.0
8,Sunny,Skirt,4.0
8,Hot,Polo,3.0
9,Hot,Hoodie,5.0
9,Sunny,Shorts,4.0
9,Cold,T-shirt,3.0
10,Sunny,Jacket,5.0
10,Rainy,Blazer,4.0
10,Windy,Sweater,3.0
11,Hot,Jeans,5.0
11,Sunny,Cardigan,4.0
11,Cold,Hoodie,3.0
12,Windy,Polo,5.0
12,Sunny,T-shirt,4.0
12,Hot,Shorts,3.0
13,Rainy,Sweater,5.0
13,Hot,Jacket,4.0
13,Sunny,Jeans,3.0
14,Cold,Hoodie,5.0
14,Sunny,Blazer,4.0
14,Hot,T-shirt,3.0
15,Windy,Shorts,5.0
15,Cold,Pants,4.0
15,Sunny,Sweater,3.0
16,Hot,Hoodie,5.0
16,Rainy,T-shirt,4.0
16,Cold,Jacket,3.0
17,Sunny,Polo,5.0
17,Windy,Jeans,4.0
17,Hot,Shorts,3.0
18,Cold,Sweater,5.0
18,Sunny,T-shirt,4.0
18,Hot,Hoodie,3.0
19,Hot,Pants,5.0
19,Rainy,Jacket,4.0
19,Cold,Shorts,3.0
20,Sunny,Hoodie,5.0
20,Windy,Blazer,4.0
20,Hot,Polo,3.0
1,Cold,Jacket,4.0
2,Hot,Shorts,5.0
3,Sunny,T-shirt,4.0
4,Rainy,Hoodie,3.0
5,Cold,Pants,5.0
6,Windy,Sweater,4.0
7,Hot,Jeans,5.0
8,Sunny,Blazer,4.0
9,Cold,T-shirt,5.0
10,Hot,Hoodie,4.0
11,Sunny,Shorts,5.0
12,Cold,Polo,4.0
13,Rainy,Jacket,5.0
14,Hot,Sweater,4.0
15,Windy,Hoodie,5.0
16,Cold,Shorts,4.0
17,Sunny,T-shirt,5.0
18,Hot,Jacket,4.0
19,Windy,Hoodie,5.0
20,Rainy,Pants,4.0
1,Sunny,Sweater,5.0
2,Hot,T-shirt,4.0
3,Cold,Hoodie,5.0
4,Sunny,Pants,4.0
5,Windy,Blazer,5.0
6,Hot,Jacket,4.0
7,Cold,T-shirt,5.0
8,Sunny,Shorts,4.0
9,Windy,Hoodie,5.0
10,Hot,Blazer,4.0
11,Cold,Jeans,5.0
12,Sunny,Sweater,4.0
13,Hot,Polo,5.0
14,Windy,Jacket,4.0
15,Cold,T-shirt,5.0
16,Sunny,Hoodie,4.0
17,Hot,Shorts,5.0
18,Cold,Pants,4.0
19,Sunny,Hoodie,5.0
20,Windy,Blazer,4.0
1,Hot,Shorts,5.0
2,Cold,Hoodie,4.0
3,Sunny,T-shirt,5.0
